Year,Team Number,City,State,Country,Team Name,latitude,longitude
1999,316,Carneys Point,New Jersey,USA,316: LuNaTeCs,39.716671,-75.4709625
1999,319,Alton,New Hampshire,USA,319: Big Bad Bob,43.4538803,-71.2211914
1999,321,Philadelphia,Pennsylvania,USA,321: RoboLancers,39.9522781,-75.1624527
1999,322,Flint,Michigan,USA,322: Team F.I.R.E.,43.0114403,-83.6867905
1999,329,Medford,New York,USA,329: Mohawks,40.817131,-73.0061493
1999,330,Hermosa Beach,California,USA,330: The Beach Bots,33.8640404,-118.3953476
1999,333,Brooklyn,New York,USA,333: MEGALODONS,40.6924515,-73.9903564
1999,334,Brooklyn,New York,USA,334: TechKnights,40.6924515,-73.9903564
1999,335,Brooklyn,New York,USA,335: Skillz Tech Gear Botz,40.6924515,-73.9903564
2000,337,Logan,West Virginia,USA,337: Hard Working Hard Hats,37.8464012,-81.9922714
2000,339,Stafford,Virginia,USA,339: Kilroy Robotics,38.4228783,-77.4081726
2000,340,Churchville,New York,USA,340: G.R.R. (Greater Rochester Robotics),43.1003418,-77.8846664
2000,341,Ambler,Pennsylvania,USA,341: Miss Daisy,40.1553383,-75.2201614
2000,342,North Charleston,South Carolina,USA,342: Burning Magnetos,32.8767204,-80.0092773
2000,343,Seneca,South Carolina,USA,343: Metal-In-Motion,34.6854782,-82.9556808
2000,346,Chesterfield,Virginia,USA,346: RoboHawks,37.3768311,-77.5082474
2000,348,Norwell,Massachusetts,USA,348: Norwell Robotics,42.1575699,-70.8215103
2000,352,Carle Place,New York,USA,352: The Green Machine,40.7483788,-73.6177521
2000,353,Plainview,New York,USA,353: POBots,40.7763596,-73.466217
2000,354,Brooklyn,New York,USA,354: G-House Pirates,40.6924515,-73.9903564
2000,358,Hauppauge,New York,USA,358: Robotic Eagles,40.8251419,-73.203598
2000,359,Waialua,Hawaii,USA,359: Hawaiian Kids,21.5739803,-158.1229858
2000,360,Tacoma,Washington,USA,360: The Revolution,47.2551308,-122.4416428
2000,364,Gulfport,Mississippi,USA,364: Team Fusion,30.3803196,-89.0923462
2000,365,Wilmington,Delaware,USA,365: Miracle Workerz,39.7402306,-75.5508423
2000,368,Honolulu,Hawaii,USA,368: Team Kika Mana,21.3048496,-157.8577576
2000,369,Brooklyn,New York,USA,369: High Voltage,40.6924515,-73.9903564
2000,371,Staten Island,New York,USA,371: Cyber Warriors,40.6424408,-74.0752792
2000,375,Staten Island,New York,USA,375: Robotic Plague,40.6424408,-74.0752792
2000,378,Newfane,New York,USA,378: The Circuit Stompers,43.2901993,-78.7087021
2000,379,Girard,Ohio,USA,379: RoboCats,41.1540184,-80.7033005
2000,383,Porto Alegre,Rio Grande do Sul,Brazil,383: Brazilian Machine,-30.0341492,-51.2280083
2000,384,Richmond,Virginia,USA,384: Sparky 384,37.540699,-77.4336472
2000,386,Melbourne,Florida,USA,386: Team Voltage,28.0794296,-80.6071777
2000,395,Bronx,New York,USA,395: 2 TrainRobotics,40.8372917,-73.8860092
2000,399,Lancaster,California,USA,399: Eagle Robotics,34.6988983,-118.144783
2000,401,Christiansburg,Virginia,USA,401: Copperhead Robotics,37.1301384,-80.4084091
2000,418,Austin,Texas,USA,418: Purple Haze,30.2675896,-97.7429886
2000,422,Richmond,Virginia,USA,422: Mech Tech Dragons,37.540699,-77.4336472
2000,423,Wyncote,Pennsylvania,USA,423: Simple Machines,40.0921898,-75.1499023
2000,433,Flourtown,Pennsylvania,USA,433: Firebirds,40.1051407,-75.2109299
2000,435,Raleigh,North Carolina,USA,435: Robodogs,35.785511,-78.6426697
2000,441,Houston,Texas,USA,441: DEVIL DOGS,29.7604504,-95.3697815
2000,442,Huntsville,Alabama,USA,442: Redstone Robotics,34.7291298,-86.5849762
2000,447,Anderson,Indiana,USA,447: Team Roboto,40.1021614,-85.678688
2000,449,Silver Spring,Maryland,USA,449: The Blair Robot Project,38.9966812,-77.0288696
2000,451,Maumee,Ohio,USA,451: The Cat Attack,41.5633507,-83.6541672
2000,453,Clinton Township,Michigan,USA,453: Rockem Sockem Robotics,42.6005402,-82.933548
2000,456,Vicksburg,Mississippi,USA,456: Siege Robotics,32.3500404,-90.8815536
2000,457,San Antonio,Texas,USA,457: Grease Monkeys,29.4245796,-98.4946136
2000,461,West Lafayette,Indiana,USA,461: Westside Boiler Invasion,40.4310417,-86.9136505
2000,467,Shrewsbury,Massachusetts,USA,467: The Colonials,42.2937508,-71.718399
2000,468,Flint,Michigan,USA,468: Aftershock,43.0114403,-83.6867905
2000,469,Bloomfield Hills,Michigan,USA,469: Las Guerrillas,42.5842094,-83.2424469
2000,470,Ypsilanti,Michigan,USA,470: Grizzly Robotics,42.2408104,-83.6130905
2000,484,Havertown,Pennsylvania,USA,484: Roboforce,39.9807587,-75.3077621
2000,486,Wallingford,Pennsylvania,USA,486: Positronic Panthers,39.8933907,-75.3657532
2000,488,Seattle,Washington,USA,488: Team XBot,47.603569,-122.3294525
2001,492,Bellevue,Washington,USA,492: Titan Robotics Club,47.6100197,-122.187851
2001,494,Goodrich,Michigan,USA,494: Martians,42.9169312,-83.5033875
2001,496,Port Jefferson,New York,USA,496: Royals,40.9460182,-73.0710373
2001,498,Glendale,Arizona,USA,498: Cobra Commanders,33.5386086,-112.1862717
2001,501,Manchester,New Hampshire,USA,501: The PowerKnights,42.991169,-71.463089
2001,503,Novi,Michigan,USA,503: Frog Force,42.466259,-83.4862823
2001,509,Bedford,New Hampshire,USA,509: Red Storm,42.9463806,-71.5166931
2001,514,Miller Place,New York,USA,514: Miller Place Robotics,40.9569397,-73.0092316
2001,525,Cedar Falls,Iowa,USA,525: Swartdogs,42.528141,-92.445549
2001,527,No. Massapequa,New York,USA,527: Red Dragons,42.9370842,-75.6107025
2001,533,Lindenhurst,New York,USA,533: The PSIcotics,40.6816711,-73.3674316
2001,537,Sussex,Wisconsin,USA,537: Charger Robotics,43.1337395,-88.221199
2001,538,Arab,Alabama,USA,538: Dragon Slayers,34.3228683,-86.4953537
2001,539,Richmond,Virginia,USA,539: Titan Robotics,37.540699,-77.4336472
2001,540,Henrico,Virginia,USA,540: TALON 540 Godwin Robotics,37.5180397,-77.3778534
2001,545,Levittown,New York,USA,545: ROBO-DAWGS,40.7259483,-73.5127335
2001,547,Fayetteville,Tennessee,USA,547: F.E.A.R.,35.1526794,-86.5705109
2001,548,Northville,Michigan,USA,548: Robostangs,42.4366989,-83.507103
2001,554,Ft. Thomas,Kentucky,USA,554: The Bluegrease Crew,39.08078,-84.4489136
2001,555,Montclair,New Jersey,USA,555: Montclair Robotics,40.8174019,-74.2161484
2001,558,New Haven,Connecticut,USA,558: Elm City Robo Squad,41.307621,-72.9246216
2001,564,Middle Island,New York,USA,564: Longwood Robotics,40.8834496,-72.9407425
2001,568,Anchorage,Alaska,USA,568: Nerds of the North,61.2175598,-149.8583832
2001,569,Westbury,New York,USA,569: Rambots,40.7570992,-73.5868301
2001,571,Windsor,Connecticut,USA,571: Team Paragon,41.8517494,-72.6435089
2001,573,Bloomfield Hills,Michigan,USA,573: Mech Warriors,42.5842094,-83.2424469
2001,578,Fairport,New York,USA,578: R-cubed  - Red Raider Robotics,43.1009712,-77.4419403
2001,580,Studio City,California,USA,580: Viking Robotics,34.1399727,-118.3891754
2001,581,San Jose,California,USA,581: Blazing Bulldogs,37.3385811,-121.8855667
2001,585,Tehachapi,California,USA,585: Cyber Penguins,35.1322403,-118.4491119
2001,587,Hillsborough,North Carolina,USA,587: Hedgehogs,36.07621,-79.0994415
2001,589,La Crescenta,California,USA,589: Falkon Robotics,34.2293892,-118.2483597
2001,590,Choctaw,Mississippi,USA,590: Chahta Warriors,33.5589218,-90.8120117
2001,597,Los Angeles,California,USA,597: The Wolverines,34.0534897,-118.2453232
2001,599,Granada Hills,California,USA,599: Robodox,34.2897377,-118.507637
2001,601,Hampton Bays,New York,USA,601: BayBots,40.8729401,-72.5200272
2001,604,San Jose,California,USA,604: Quixilver,37.3385811,-121.8855667
2001,606,Los Angeles,California,USA,606: Cyber Eagles,34.0534897,-118.2453232
2001,610,Toronto,Ontario,Canada,610: Crescent Robotics,43.6573982,-79.4328003
2001,611,McLean,Virginia,USA,611: Saxons,38.9365196,-77.1842804
2001,612,Chantilly,Virginia,USA,612: Chantilly Robotics,38.8835983,-77.4397507
2001,613,Somerset,New Jersey,USA,613: NeoWarriors,40.4983292,-74.5229721
2001,614,Alexandria,Virginia,USA,614: Night Hawks,38.8045998,-77.0434113
2001,617,Highland Springs,Virginia,USA,617: Enginerds,37.5456581,-77.327301
2001,619,Charlottesville,Virginia,USA,619: Cavalier Robotics,38.0321312,-78.4775314
2001,620,Vienna,Virginia,USA,620: Warbots,38.9003716,-77.263649
2001,623,Vienna,Virginia,USA,623: Cougar Robotics,38.9003716,-77.263649
2001,624,Katy,Texas,USA,624: CRyptonite,29.7674007,-95.8287964
2001,639,Ithaca,New York,USA,639: Code Red Robotics,42.4405098,-76.4954605
2001,640,Jamaica,New York,USA,640: Robo Elite,40.6981926,-73.7955704
2001,647,Killeen,Texas,USA,647: Cyberwolves,31.1168308,-97.7271118
2001,648,Quad Cities,Iowa,USA,648: QC ELITE - Flaming Squirrels,42.0746994,-93.4999695
2001,649,Saratoga,California,USA,649: M-SET Fish,37.2710495,-122.0140076
2001,653,San Antonio,Texas,USA,653: NOSIDE,29.4245796,-98.4946136
2001,662,Colorado Springs,Colorado,USA,662: Rocky Mtn. Robotics,38.8334312,-104.8218079
2001,663,Whitinsville,Massachusetts,USA,663: Robonauts,42.1157799,-71.6685791
2001,668,San Jose,California,USA,668: The Apes of Wrath,37.3385811,-121.8855667
2001,670,Cupertino,California,USA,670: Homestead Robotics,37.3189583,-122.0292816
2001,677,Columbus,Ohio,USA,677: Murphy's Outlaws,39.9619904,-83.0027466
2001,686,Walkersville,Maryland,USA,686: Bovine Intervention,39.4816208,-77.3505173
2001,687,Carson,California,USA,687: The Nerd Herd,33.8316116,-118.2621231
